,,,,,,,,,,,
Gerencia,Cadena,Plu,Nombre Plu,Subl,Sublinea,Subcat,Subcategoria,Marc,Marca,Clase Marca,Estrategia
Gran Consumo,Éxito,1757905,Limpiapisos Desinfec Bicarbona,405,LIMPIADORES E IMPLEMENTOS ASEO,1928,LIMPIAPISOS EFICIENTES,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1773369,CREMA HUMECTANTE ALMENDRAS,406,CUIDADO CORPORAL,1310,CREMAS HUMECTANTES,24674,AMPM PLUS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1773371,CREMA HUMECTANTE AVENA,406,CUIDADO CORPORAL,1310,CREMAS HUMECTANTES,24674,AMPM PLUS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1773372,CREMA HUMECTANTE BEBE,406,CUIDADO CORPORAL,1350,CREMAS HUMECTANTES BEBE,24674,AMPM PLUS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1804224,Detergente En Polvo Floral,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1804225,Detergente En Polvo Limon,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,251334,Cafe Instantaneo Pulverizado,92,BEBIDAS CALIENT/Y ALMT.NATURIS,5620,CAFE INSTANTANEO,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,253898,Cafe Instantaneo Granulado,92,BEBIDAS CALIENT/Y ALMT.NATURIS,5620,CAFE INSTANTANEO,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,258027,Cafe Molido,92,BEBIDAS CALIENT/Y ALMT.NATURIS,5610,CAFE MOLIDO,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,289831,Toalla Higienica Delgada,67,PAPELES Y ABSORBENTES,7020,TOALLAS HIGIENICAS,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
