,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Info para aplicar SR,Info para negocio dctos pos,,
insuperables ciclo 2 ,,,,,,,,,,,,
Negociador,PROVEEDOR,SUB,CATEGORIA,SUBCATEGORIA,MARCA,PLU,DESCRIPCION PLU,Presentacion,PRECIO APLICAR SR, Dcto pos aplica el negocio ,Observación,
Carla,COLGATE PALMOLIVE COMPANIA.,406,JABONES DE TOCADOR,JABON DESODOR/PERFUM/COSMET,PALMOLIVE,3189026,Jabón de tocador sandía lychee,330 G,"$9,900 ",15%,,
Maria Camila,UNILEVER ANDINA COLOMBIA LTDA,402,MAYONESAS,MAYONESA NORMAL,FRUCO,981751,Mayonesa baja en grasa,600 G,"$18,600 ",25%,,
Maria Camila,UNILEVER ANDINA COLOMBIA LTDA,402,SALSAS DE TOMATE,SALSA DE TOMATE NORMAL,FRUCO,981730,Salsa De Tomate Doy Pack,600 G,"$15,950 ",25%,,
Maria Camila,UNILEVER ANDINA COLOMBIA LTDA,402,MAYONESAS,MAYONESA NORMAL,FRUCO,3450322,Mayonesa receta artesanal,250 G,"$12,900 ",15%,,
Maria Camila,UNILEVER ANDINA COLOMBIA LTDA,402,SAZONADORES,SALSAS BBQ,FRUCO,3072652,Salsa Bbq Artesanal Doy Pack,380 G,"$14,000 ",15%,,
Maria Camila,UNILEVER ANDINA COLOMBIA LTDA,402,SAZONADORES,SOYA,FRUCO,13243,Salsa soya frasco,154 ML,"$7,200 ",15%,,
Maria Camila,LEVAPAN S.A.,94,COMIDAS PREPARADAS,FRIJOLES,SAN JORGE,3113474,Frijoles antioqueños Con tocino lata,300 G,"$8,900 ",15%,,
Maria Camila,LEVAPAN S.A.,94,VEGETALES EN CONSERVA,MAICES CONSERVA,SAN JORGE,693740,Maíz tierno Lata x2 und,380 G,"$12,150 ",15%,,
Kathe A,HARINERA DEL VALLE S.A.,93,PASTAS,PASTAS COMUNES,LA MUNECA,603117,PASTA SPAGUETTI,1000 G,"$6,700 ",20%,,
Kathe A,HARINERA DEL VALLE S.A.,93,PASTAS,PASTAS FINAS,CONZAZONI,233644,Pastas larga fetuccine,500 G,"$8,800 ",20%,,
